Note,Commentaire
4.5," « Ready Player One » au delà des multiples références citées, au delà de cet univers incroyable est surtout un constat glacé et une peinture pleine de vérité sur un monde déshumanisé prêt à vivre par procuration afin d’oublier et de refuser ses propres conditions, telle une addiction dévorante et inquiétante !Notre monde en devenir en quelque sorte !Le nôtre étant en effet déjà bien virtuel par ces réseaux sociaux et ces pseudos utilisés, par ces jeux en ligne et ces avatars derrière lesquels on se cache pour être le plus beau et le plus fort !À ce niveau Steven Spielberg fait véritablement mouche tant l’écart entre la vraie vie de misère, effacée et mise de côté par les plus pauvres, et celle rêvée et idéalisée offerte par l’Oasis est phénoménal !Alors oui les références aux années 80, à la pop culture sont évidentes et notre super cinéaste sait les utiliser avec beaucoup de doigté, de pertinence et d’humour, mais que dire de cette débauche d’imagination, à tous niveaux ? Que ce soient les comportements humains, les conditions de vie sur le plan psychologique et matériel, les effets sur la vie au quotidien et évidemment la comparaison avec celle vécue virtuellement, tout est formidablement mis en scène avec des allers retours entre les deux mondes saisissants et épatants...On se régale de tous ces clins d’œil à des souvenirs encore bien présents dans nos mémoires, de ces références cinématographiques, comme ce passage osé et insensé dans un célèbre film culte...Alors qu’en parallèle notre regard n’a de cesse de repérer d’infimes détails sur des objets, des marques, des modèles de voiture encore bien connus à notre époque et dans notre vie de tous les jours. Cet univers réaliste et finalement très proche de nous, se confronte donc avec d’autant plus de force et d’impact avec celui de folie et sans limite, sorti tout droit de l’imagination de Spielberg !Ceci est d’ailleurs d’autant plus vrai quand on prend en compte la présence des jeunes acteurs (Tye Sheridan et Olivia Cook pour ne citer que ces deux là !), tous pétillants et aussi à l’aise dans leur vraie enveloppe charnelle, que dans celle faite de millions de pixels !Ces aventuriers purs et durs, auront fort à faire évidemment face au méchant mégalomane dont là aussi les comparaisons sont évidentes...Et au fond pour conclure, une magnifique fable de science fiction pleine d’enseignement, très au point et surprenante sur les aspirations de l’homme à vouloir toujours être autre chose que ce qu’il est véritablement, sur notre société inquiétante que l’on crée chacun de toutes pièces au jour le jour, que l’on cautionne et que l’on mérite finalement, en oubliant tout simplement d’être soi même ! "
4.5," En guise préambule, je suis un quasi-septuagénaire ayant vécu la naissance de la micro-informatique, les débuts d’Internet, Mai 68 et autres joyeusetés. Ceci pour dire que la culture geek est aux antipodes de la mienne, que les jeux vidéos ne sont pour moi que des noms sur des boîtes, que je confonds les casques de réalité virtuelle avec des lunettes de ski, et que Candy crush n’évoque pour moi qu’un dessin maladroitement animé (Au pays de Candy la cruche).Cette remarque liminaire n’est là que pour préciser que les nombreuses références du film de Spielberg aux mondes ludiques me sont totalement étrangères et que des mentions comme « Super Rocket shootout : un nouveau brawler arrive sur Switch » relèvent d’un sabir que seuls les moins de 20 ans peuvent comprendre. Je n’en suis donc que plus aise pour affirmer que Ready player One, bien qu’étant un film de genre, et donc par là fortement dédié, est pour moi un moment d’intense jubilation, émerveillant, captatif, jouissif : une accession à l’essence même du plaisir pur, sans mélange. Avec son rythme effréné qui ne laisse aucun répit, son inventivité extraordinaire (d’autant que le propos est archi-rebattu), on en prend plein les mirettes. Nous sommes ici dans le divertissement absolu, où la fascination prend le pas sur la réflexion, immense grand huit qui nous aspire dans son tourbillon. La vocation du plaisir consiste dans son immédiateté et son immanence, immersion totale dans l’impression, l’émotion, la sensation. Peu importe alors, dans un premier temps, de reconnaître telle voiture de Batman, de pointer du doigt le film de Brad Bird ou d’être convenu avec le concept de l’easter egg. Laissons l’inanité du comptage des références à ceux qui ne font du cinéma qu’un acte consommatoire en compilant les renvois qu’ils perçoivent comme le principe essentiel du film. Comme l’énonçait Godard, « pas une image juste, juste une image ». Bien sûr, Spielberg raconte également une histoire, et pose son regard sur le monde contemporain. De primitive façon, on peut y voir la ruine du réel par le virtuel, le principe de réalité opposé à la vivacité de l’imaginaire, le retour du refoulé incarné par la main mise d’oligarchies totalitaires voulant annexer le monde et les esprits à travers une interconnexion généralisée dont ils seraient les maîtres. D’où cette cause des jeunes rebelles rétifs à l’idée que l’on puisse brider leur liberté, alors même qu’ils sont déjà les esclaves consentants du modelage de leur imagination par les objets connectés (casques VR, portables) dont ils sont les consommateurs les plus avides. La première séquence est anthologique avec la descente de cet ado dans les étages d’un monde réel désespérant pour rejoindre le monde virtuel et sa bulle d’illusions. Mais Spielberg est d’abord un homme de cinéma, à se questionner sur le devenir de celui-ci, qui aujourd’hui a tendance à s’absorber tout entier dans l’image de synthèse qui en signifie la mort assurée. Il joue ainsi des 2 ressorts dans un va et vient permanent entre l’image « réelle » (image juste) et l’image numérique (juste une image) en tordant leurs liens intimes par perfusion, dans une capillarité où la première se métamorphose en devenant l’avatar de la seconde, pendant que cette dernière vampirise les formes de la première jusqu’à en confondre leur principe vital. Eternel combat de l’Ancien et du Moderne, que Spielberg illustre de superbe façon. "
5.0," Tout n'est peut être pas exceptionnel dans ce film mais il mérite 5 étoiles. Les images sont incroyables, l'histoire est sympa et bien équilibrée sur la durée du film (aucun aspect n'est bâclé par manque de temps) et surtout j'ai adoré essayer de chercher les références tout au long du film. Plus que ça je met la note maximale car en sortant je me disais : j'ai loupé plein de trucs j'ai vraiment envie de le revoir. Une super réussite de Spielberg dont la réalisation est toujours aussi irréprochable. Il fait vraiment rêver sans stigmatiser les jeux vidéos bêtement c'est agréable. "
5.0," MONSIEUR spielberg démontre qu'il est le maître du grand spectacle cinématographique,une merveille visuelle et 2h20 de pure enchantement,le boss donne encore une leçon du genre "
5.0," J'attendais ce film depuis que j'ai su que c'était Spielberg qui allait s'occuper de l'adaptation. Spielberg, celui dont les films ont bercé mon adolescence et fait de moi ce que je suis (oui oui, si j'ai la fibre artistique, si j'aime le cinéma, si j'aime les belles choses, si j'aime rêver et faire rêver, c'est un peu grâce à lui). Et en plus un film qui allait parler de cet avenir virtuel qui me fait un peu peur tout en revenant avec des clins d'oeil sur une multitude de personnages qui m'ont fait rêver. Oui rêver, car depuis quelques temps au cinéma, les réalisateurs ont du mal a nous faire rêver avec leurs histoires, et le public a du mal a suivre les salles de ciné si ce n'est pas un reboot, un remake, une suite ou une license. Alors oui la promo était plutôt ""tapageuse"", mais le film est à la hauteur. Une merveille qui m'a transporté et fait revenir à l'adolescence, pendant 2H20, sans temps morts. Et rien que pour ça, bravo Steven, et encore merci, merci pour tout. "
3.0," J'avais accepté l'idée que Steven Spielberg allait câliner les adorateurs de la pop-culture au vu du recrutement incompréhensible d'un des pires tacherons d'Hollywood pour réécrire le livre d'Ernest Cline mais la source du problème s'étend bien au-delà de son accaparement des références filmiques et vidéo-ludiques, c'est tout simplement un souci d'intention. Ready Player One veut revenir à un cinéma qui n'existe plus, celui que Spielberg a lui-même popularisé avec Amblin et Zemeckis, celui qui est ingénu, simple, naïf, où peut se projeter sur un gamin envoyant un coup de pied dans l'entrecuisse du grand méchant et des petits génies qui défont un système à eux-seuls. Mais ça ne marche pas car tout est trop facile, imaginons les errances du BGG au carré. Spielberg résume le monde à un ghetto, restreint un peuple dérouté à une bande d'ados en vadrouille, il zappe le peu de drame qu'il a entre les mains (les morts du bidonville, aucun rappel ou impact émotionnel) en contrepartie d'un humour daté et de papouilles pour les geeks (le Géant de Fer, la fausse route vers le classique horrifique), il encourage à un équilibre entre le partage informatique et le contact physique, des beaux mots qui ne signifient rien dans un happy ending enfantin à l'excès où on cherche désespérément un dilemme autre que celui de battre le vilain. Si les 140 minutes défilent à la vitesse-lumière, ce n'est pas pour autant que l'on se prend d'affection pour qui que ce soit, les personnages sont aussi plats et lisses que leurs avatars virtuels, jamais développés ou attachants, cela doit bien être la première fois depuis Indy 4 que je reste impassible devant une réalisation du maître de l'entertainment. Sont à sauver les passages dans l'Oasis qui, à l'image du survitaminé Tintin, atteignent un palier technologique encore jamais dépassé et dopé par une mise en scène étourdissante. Pas suffisant pour combler le vide. "
3.5," Comment ne pas reconnaître Steven Spielberg derrière James Halliday, ce multimilliardaire dont la principale invention, l'OASIS, permet à la population mondiale de s'évader à l'intérieur de l'illusion d'un immense monde virtuel pour échapper à la triste condition d'un futur en proie à tous les maux ? Comment ne pas faire le parallèle avec un réalisateur qui a laissé, laisse et laissera son empreinte dans l'histoire du cinéma en faisant rêver par son sens du merveilleux des générations entières de spectateurs à travers le monde le temps de quelques voyages marquants dans les salles obscures bien loin de la morne réalité ? Et, surtout, comment ne pas voir le cinéaste s'interroger sur son propre héritage, au devenir du legs de sa filmographie au milieu d'une époque qui ne jure que par les remakes, reboots et suites aussi cyniques que mercantiles, à travers cette chasse à l'easter-egg, symbole de fortune, organisée par Halliday pour transmettre son héritage au sein d'une aventure à multiples épreuves qui récompensera celui qui le connaît le mieux tout en ravivant le souvenir de ce sur quoi l'ensemble de son oeuvre s'est construite ? Dans notre monde, l'incarnation de cet easter-egg pourrait totalement être ""Ready Player One"" en lui-même, oeuvre faussement testimoniale d'un Steven Spielberg nous invitant aussi à prendre part à une aventure basée sur tous les piliers adorés de sa filmographie et de ses amours cinéphiles d'une époque désormais intemporelle qu'il nous ait demandé de déceler à travers les multiples références à l'écran.Mais, attention, ""Ready Player One"" n'est nullement un film de fin de vie car le ""jeune"" réalisateur Steven Spielberg est aussi bel et bien présent sous les traits de son ""avatar"" Wade, un adolescent qui ne vit plus que pour l'OASIS et la chasse à cet easter-egg convoité de tous pour oublier sa vie misérable. Sur sa route, il affrontera l'IOI, une multinationale tentaculaire dont l'unique but est de parvenir par tous les moyens à mettre la main sur cet héritage générationnel pour le pervertir à des fins purement commerciales. Une fois de plus, comment ne pas y voir un Spielberg emporté dans un tourbillon de révolte contre les grands studios qui se contentent de produire des resucées sans âme de succès bien établis dans l'unique perspective d'une nouvelle pluie de billets verts de la part de spectateurs voulant renouer avec le merveilleux des films d'une époque hélas révolue.En ce sens, le réalisateur a trouvé une espèce de support parfait à une introspection de son travail et de son devenir avec le livre d'Ernest Cline, une sorte de démonstration qu'il a pleinement conscience de son statut d'icône dans le coeur des cinéphiles et qu'il fera tout ce qui est en son pouvoir pour le faire perdurer. Par ce seul fait, ""Ready Player One"" est donc une pièce maîtresse de sa filmographie en devenant un autoportrait réussi et fascinant des différentes facettes d'un monument du cinéma.Pour autant, sur bien d'autres aspects, son nouveau long-métrage est loin d'être une totale réussite...N.B.: à partir de ce moment, le jugement est celui d'un lecteur du bouquin d'Ernest Cline, qui l'a lu quasiment d'une traite et trouvé excellent, si votre avis sur le matériau d'origine diffère ou que vous ne l'avez même pas ouvert, il se peut évidemment que votre vision et appréciation du film ne soit pas du tout la même).En terme d'adaptation, ""Ready Player One"" est un vrai cas d'école.Visuellement, le film tient presque du sans-faute, collant au plus près et devançant même ce que notre imagination véhiculait à partir des pages du roman de Cline. De l'esthétique pessimiste de ce futur où s'empilent les mobile-homes à cause de la surpopulation et de la pauvreté, en passant par l'impression de rêve éveillé émanant de l'OASIS qui offre un champ infini de possibilités de mondes à explorer, jusqu'aux avatars des héros qu'on apprécie de voir prendre vie sur grand écran ou, bien entendu, ceux des habitants de ce monde vecteurs de dizaines de références de culture pop' à la minute, Spielberg s'amuse et semble retrouver un second souffle en retournant au merveilleux de la SF que lui offre ce nouveau terrain de chasse. Des moments époustouflants, ""Ready Player One"" n'en manque pas, parmi les sommets, on retiendra surtout une course urbaine démente, une danse endiablée dans une boite de nuit sans gravité, une virée en terre Kubrickienne et bien sûr cette bataille finale complètement folle, sorte d'orgasme ultime d'une culture geek explosant aux quatre coins de l'écran avec une jouissance contagieuse à laquelle il est impossible de ne pas succomber. Là encore, ""Ready Player One"" peut se targuer de réussir tout ce qu'il entreprend sur ce plan mais alors d'où vient le problème qui nous empêche de crier au génie avec une grande majorité de spectateurs ?En réalité c'est sur le fond que ça se complique sérieusement. Évidemment, nous sommes dans une adaptation cinématographique qui entraîne par définition des libertés avec le support dont elle est issue. Dans ""Ready Player One"", tous les fondamentaux de l'intrigue sont bel et bien présents (la chasse à l'easter egg, les trois clés, tous les personnages, etc) mais les développements autour vont soit virer aux dangereux raccourcis soit en péripéties futiles allant même jusqu'à dénaturer la magie de l'oeuvre de l'origine.Expliquons-nous, la quête à l'easter egg est le coeur même du livre, lui donnant son sens épique et dessinant des héros pour qui cela devient le but d'une vie, par-dessus toutes choses, allant même jusqu'à les isoler constamment pour avoir seul ce plaisir solitaire de récompense ultime. Or, ici, le film fait totalement fi de cet esprit déterminé et aveugle en les réunissant tous rapidement pour s'entraider (comme un vulgaire clan que le héros exècre normalement). Un détail nous direz-vous, soit. Alors que dire du personnage d'Art3mis réinventé en chef de rébellion (dont on ne verra jamais rien finalement) et révélé physiquement très vite dans la réalité alors que le livre construisait toute l'émotion touchante autour d'elle et de son histoire d'amour avec Wade sur son refus de révéler sa véritable apparence jusque dans les ultimes instants ? Que dire des épreuves complètement réimaginées (ou de celles disparues des portails) et lissées pour ne pas faire appel à des références rétro-geeks trop pointues (seule une est véritablement respectée... et bizarrement c'est la meilleure) ? Bien entendu, la course et la promenade dans un certain hôtel n'ont rien de déplaisantes mais l'idée ô combien jubilatoire de voir Wade faire une partie de Joust avec un certain Acererak comme dans un passage culte du livre était terriblement réjouissante, de même que le plaisir de la découverte du lieu par le héros qui lui octroyait vraiment son esprit de compétiteur. Que dire de tous les passages chez IOI de la dernière partie réécrits sans saveur avec un autre personnage en leur sein pour n'être qu'un prétexte à plus de scènes d'action finales très fades dans notre réalité (mention spéciale à la sous-fifre inventée pour l'occasion... et qui ne sert strictement à rien)? Que dire de ce ventre mou invraisembable au milieu du film où l'on se met à s'ennuyer alors que chaque chapitre du livre nous donnait envie de dévorer le suivant ? Que dire devant des héros terriblement bien moins attachants que dans le livre ou, pire ne servant que de faire-valoir (aïe, aïe, Shoto et Daito) ? Que dire devant la révélation bien trop en amont de l'origine du conflit entre Halliday et Morrow alors qu'elle était normalement là pour ajouter une dimension dramatique supplémentaire aux événements finaux ? Que dire...Et on pourrait continuer la liste pendant très longtemps comme ça tant le film ""Ready Player One"" s'éloigne du livre dans les plus mauvaises directions possibles. À l'image de la musique effroyablement classique (et insupportable) composée par Alan Silvestri, ""Ready Player One"" semble lisser tous les aspects les plus originaux et pointus d'un livre qui n'était pas pourtant pas si innovant lui-même après tout mais qui était transcendé par un esprit épique par le sens même de sa quête et que le film ne retrouve qu'en de rares occasions.On ne peut ainsi qu'imaginer le chef-d'oeuvre qu'aurait pu être ""Ready Player One"" s'il avait réussi à coupler l'autoportrait d'un cinéaste essentiel, son visuel et le respect total d'un support qui ne demandait aucunement de trop s'en éloigner.En l'absence du dernier point, ""Ready Player One"" sera un blockbuster efficace, doté d'un univers passionnant et bien mieux réalisé que la moyenne pour tous les lecteurs du livre d'Ernest Cline. Pour les autres, il y aura peut-être l'illusion d'un potentiel chef-d'oeuvre, grand bien leur fasse... "
2.0," Comme quoi on peut s’appeler Steven Spielberg et faire l’une des introductions les plus dégueulasses de 2018. Déluge d’effets spéciaux numériques hideux. Mouvements du cadre vomitifs. Accompagnement musical digne d’un sous-« Avatar ». Mais le pire ça reste tout de même cette narration en voix-off digne des pires productions des studios « Illumination ». « Salut moi c’est [personnage insignifiant]. Là c’est mon monde, il s’appelle [insérer un nom de sponsor] et j’y suis trop heureux ! Sinon voilà aussi deux ou trois autres trucs que je me dois de vous présenter parce que les scénaristes n’ont pas eu envie de se prendre le chou avec leur démarche d’exposition. Et là ? Eh bah là – hi hi ! – là c’est moi… » Oui je sais c’est violent présenté comme ça, mais ceux qui ont vu le film pourront vous le confirmer : j’exagère à peine. Alors forcément vous devez vous en douter : avec pareille mise en bouche, c’est clair que le film ne me mettait pas dans les meilleures dispositions pour apprécier ce qu’il avait à me dire et me montrer. Il a donc fallu me raccrocher aux branches pour espérer ne pas sombrer. Or, fort heureusement, je trouve que tout n’est pas à jeter dans ce « Ready Player One ». Même si les bouillasseries numériques se poseront tout au long du film comme une norme, il y a néanmoins quelques tentatives assez créatives qui émergent de temps en temps. Pour le coup, celles-ci concernent surtout les clins d’œil au cinéma plutôt que ceux faits aux jeux-vidéo. Bah oui, c’est qu’on sent que papy Spielberg a davantage une passion pour le premier plutôt que pour les seconds. Idem, je reconnais volontiers à ce film qu’il parvient à générer un certain intérêt autour de sa grande quête centrale. La montée en puissance de cette dernière est efficace, surtout qu’elle s’appuie sur une mécanique de révélation progressive que je considère comme vraiment maitrisée. D’ailleurs, c’est sûrement dans le climax final que j’ai trouvé le plus mon compte dans ce « Ready Player One ». ( spoiler:  Je parle bien évidemment de ce moment passé entre Wade et James Halliday. A dire vrai c’est le seul moment où le film laisse de côté ses bullshiteries visuelles au profit d’un propos tout en abîme. A ce moment là, difficile de ne pas voir Spielberg en train de jeter un regard sur son œuvre à lui et sur celle de son copain George Lucas. C’est assez tendre. Il y a un côté testamentaire qui a de quoi toucher. Donc, ne serait-ce que pour cet instant, « Ready Player One » n’est pas totalement à jeter. ) Mais bon, au-delà de ces quelques aspects là, ce film est quand même assez triste en termes de cinéma. Très rapidement, seules les références à tout-va deviennent les rares attractions du film. Alors certes, cela piégera encore sûrement les quelques geeks et autres cinéphiles qui aiment se sentir intelligents en faisant le catalogue des clins d’œil les plus discrets faits à des œuvres très hétéroclites ( spoiler:  on passe quand même d’« Excalibur » à « Gundam » en passant par « Tron », « Sacré Graal » ou bien encore « Terminator » ). Et c'est vrai que c'est amusant alors pourquoi pas. Après tout, des films entiers tiennent là-dessus et font des cartons au box-office qu'ils soient des « Star Wars » ou des films estampés de la franchise « MCU » - alors pourquoi se priver ? Mais bon, moi au bout d’un moment, j'ai un peu de mal à me laisser prendre par ces films qui n'entendent se construire que sur de simples clins d’œil et références. Un film ce n'est pas que ça. Tout autour de ces « Easter Eggs », il est quand même sensé y avoir un univers et des personnages auxquels se raccrocher. Or sur ce plan-là, ce « Ready Player One » se fout pas mal de nous. Côté personnage pour commencer, le stéréotype et la platitude sont les maîtres mots. Tout ce qu'on cherche à mettre en place pour les épaissir n'est que gadget. A quoi ça sert par exemple d’utiliser des avatars et de signaler que n’importe qui pourrait se cacher derrière si c’est pour au final… faire en sorte que ceux qui se cachent derrière les avatars en soient presque leurs exactes copies ?!  spoiler:  Parce que bon, si on fait le bilan, Daito est finalement… japonais. Oh surprise ! Sho est en fait… Chinois. Ah bah celle-là on ne s’y attendait pas ! Quant à Art3mis dont on n’arrêtait pas de nous dire « attention mon petit loulou, tu es en train de tomber amoureux d’une jolie femme voluptueuse qui n’est peut-être ni une femme, ni voluptueuse… Eh bah en fait non ! T’inquiète c’est Spielby qui est aux manettes bro ! On n’allait quand même pas bousculer les consciences ! Si Wade est tombé amoureux d’Art3mis c’était parce qu’elle était bien EFFECTIVEMENT une jolie voluptueuse. Ouf ! La morale est donc sauve ! Au final, un seul personnage est vraiment concerné par ce changement d’avatar : c’est Aech qui se révèle finalement être une femme. Or, pour le coup, la manière dont est gérée cette donnée est assez minable. Aech est quand même le super pote de Wade. C’est elle qui le branche sur quelques détails de leur relation qui révèlent leur proximité et leur complicité. C’est elle qui met sur le tapis la possible confusion des sexes. Mais non. Le film n’explore rien avec ça. Alors après, certes, ce n’était peut-être pas le sujet. Mais dans ce cas si ce n’était vraiment pas le sujet, alors il ne fallait tout simplement pas s’attarder à lancer de telles pistes. C’était pourtant simple à faire.  Et ce traitement très gadget qui est fait des personnages et de leurs avatars déteint finalement sur tout, y compris l'univers qu'on nous présente. Pour ce qui est de l'immersion on repassera tant le film semble lui-même se moquer de sa propre cohérence. Je veux bien que dans l'Oasis tout soit un peu froutaque, mais par contre j'ai beaucoup plus de difficultés avec les absurdités qui régissent le monde « réel » de ce « Ready Player One ». Si on insiste au début sur l'atrocité de ce monde dans lequel il est impossible de vivre et de s'y épanouir (d'où les connexions massives sur l'Oasis), ça n'empêche pas qu'à la fin le film nous fasse la morale en mode « Bon, sachons nous déconnecter de temps en temps et tout ira bien. » ...Bah non. Justement. L'Oasis n'est qu'un palliatif. Ce n'est pas la source du problème tel que cela nous est présenté !  spoiler:   Je trouve même assez dingue qu’on passe comme par enchantement d’une société où règne une totale impunité – où des drones d’une boite privée peuvent tuer des dizaines de personnes sans que personne ne bouge – à un final où la police débarque pour arrêter les vilains comme si finalement tout allait bien dans le meilleur des mondes.   Et c’est d’ailleurs ça le gros souci de ce film. Dans « Ready Player One », comme dans beaucoup de films sortis dernièrement (je pense notamment à « The Shape of Water »), l’enrobage a plus d’importance que le cœur. On s’attarde sur plein de détails et de clins d’œil qui ne sont là que pour obtenir l’adhésion en mode « on est dans le même camp / on partage les mêmes valeurs », mais au final on délaisse l’essentiel. Alors OK, tout cela on s’en fout un peu quand on ne regarde ce film comme une simple flopée de références et rien d’autre. Après tout on a le droit donc « pourquoi pas. » Mais bon, quand on veut voir ce film comme un film tout court, c’est tout de suite plus dérangeant. Et c’est au fond cela qui est triste avec ce « Ready Player One ». Avant d’être un film de Steven Spielberg dans lequel s’exprime Steven Spielberg, j’ai l’impression qu’on a plus affaire à une déclinaison de MCU, avec la même logique formelle et les mêmes mécaniques scénaristiques, et dans laquelle Spielberg n’est plus qu’un faiseur qui essaye de subsister au milieu de tout ce cahier des charges plus que formaté. D’une certaine manière, j’ai presque envie de dire que ce « Ready Player One » est une sorte de mauvaise blague. Etrange morale d’un film qui se larmoie sur ces auteurs qui affichent leurs regrets mais qui d’un autre côté incarnent tout ce qu’il condamne. Etrange donc… Et surtout bien désolant… Bon alors après, ce n’est que mon point de vue. Donc si vous n’êtes pas d’accord et que vous voulez qu’on en discute, n’hésitez pas et venez me retrouver sur lhommegrenouille.over-blog.com. Parce que le débat, moi j’aime ça… ;-) "
1.5," Franchement très moyen. Je partais pourtant optimiste histoire de passer un bon moment, mais je ne suis pas parvenu à rentrer dans cette histoire simpliste pour ado à gros renfort d'FX pas toujours très bien réalisés. En effet quand on voit l'avatar du ""méchant"", c'est juste raté.Il y a de gros problèmes de cohérence. Je n'ai pas lu le bouquin dont est tiré le film, mais, on voit bien que Speilberg ne connait rien au développement de jeux vidéo ou à la réalité virtuelle qui sont à première vue les thématiques centrales. Je dis bien à première vue, car, tout ça est traité de manière très superficielle. La réalité virtuelle sert d'avantage de contexte et du jeu vidéo on en tire la structure d'une naration tout ce qu'il y a de plus banale, où les héros doivent chercher des items cachés, avec en fond une histoire d'amour tout aussi banale, mais qui parlera peut-être à des ado. Il y a une autre chose insuportable. C'est l'ultra référencement pop culture qui n'est là que pour flatter quelques ego geek. En fait, en ne faisant que citer des choses d'un peu partout dans le cinéma et le jeu vidéo, il n'invente rien, n'a pas de personnalité. Ce fameux créateur du jeu est un archétipe d'un ridicule afligeant, que je n'espérais pas retrouver au cinéma. Bref, si vous êtes un peu cinéphile n'allez pas le voir. "
5.0," Un seul mot pour qualifier ce film: jouissif!!! Quel magnifique invention de compiler un univers futuriste avec la pop culture des 80’s. Le montage est extraordinaire! Durant les 2h20 des aventures de Perzival, on en prend plein les yeux avec un bonheur de découvrir toutes les références d’une grande époque pour tous les geeks. Steven Spielberg nous livre une œuvre qui marquera l’univers du cinéma. À voir et revoir pour notre plus grand plaisir! "
