id,word,polarity,joy,fear,sadness,anger,surprise,disgust
1,ã  ce endroit lã ,positive,0,0,0,0,0,0
2,ã  le hã¢t,negative,0,1,0,0,1,0
3,ã  part,negative,0,0,1,0,0,0
4,ã  pic,negative,0,1,0,0,0,0
5,ã  rallong,negative,0,0,1,0,0,0
6,abasourd,negative,0,0,0,0,1,0
7,ablat,negative,0,1,0,0,0,1
8,abomin,negative,0,1,0,0,0,1
9,abrupt,negative,0,1,0,0,0,0
10,absent,negative,0,1,1,0,0,0
11,absorb,positive,0,0,0,0,1,0
12,absurd,negative,0,0,0,1,1,1
13,accept,positive,0,0,0,0,0,0
14,accidentel,negative,0,1,1,0,1,0
15,accus,negative,0,1,0,1,0,1
16,accus,negative,0,1,1,1,0,1
17,acheteur,positive,0,0,0,0,0,0
18,acquisit,positive,0,0,0,0,0,0
19,activ,positive,0,0,0,0,0,0
20,actuel,positive,0,0,0,0,1,0
21,addit,positive,0,0,0,0,0,0
22,adhã©sif,positive,0,0,0,0,0,1
23,administr,positive,0,0,0,0,0,0
24,administr,positive,0,0,0,0,0,0
25,administr,positive,0,0,0,0,0,0
26,admir,positive,0,0,0,0,0,0
27,admissibl,positive,0,0,0,0,0,0
28,adolescent,positive,0,0,0,0,0,0
29,aã©rien,positive,0,1,0,0,0,0
30,affabl,positive,0,0,0,0,0,0
31,affair,positive,0,0,0,0,0,0
32,affectu,positive,0,0,0,0,0,0
33,affirm,positive,0,0,0,0,0,0
34,afflig,negative,0,1,1,0,0,0
35,affreux,negative,0,1,1,1,1,1
36,agent de conserv,positive,0,0,0,0,1,0
37,agent de polic,positive,0,1,0,0,0,0
38,agraf,positive,0,0,0,0,0,0
39,agrã©abl,positive,0,0,0,0,0,0
40,agress,negative,0,1,0,1,0,0
41,agriculteur,positive,0,0,0,0,0,0
42,aiguis,positive,0,1,0,1,0,0
43,aim,positive,0,0,0,0,0,0
44,aã®nã©,positive,0,0,0,0,0,0
45,aisã©ment,positive,0,0,0,0,0,0
46,alcalin,positive,0,0,0,0,0,0
47,alentour,positive,0,0,0,0,0,0
48,allong,negative,0,1,1,1,0,1
49,allur,positive,0,0,0,0,0,0
50,allus,negative,0,1,0,1,1,0
51,altern,positive,0,0,0,0,0,0
52,amas,negative,0,0,0,0,0,0
53,amatric,negative,0,0,0,0,0,0
54,ambassadric,positive,0,0,0,0,0,0
55,ambiti,positive,0,0,0,0,0,0
56,amã©lior,positive,0,0,0,0,0,0
57,ami,positive,0,0,0,0,0,0
58,amouret,negative,0,0,0,0,0,0
59,analys,positive,0,0,0,0,0,0
60,ancien,negative,0,0,0,0,0,0
61,ancien ã©lã¨v,positive,0,0,0,0,0,0
62,angul,positive,0,0,0,0,0,0
63,animal,negative,0,1,0,0,0,1
64,annuel,positive,0,0,0,0,0,0
65,anticip,positive,0,0,0,0,0,0
66,anxieux,negative,0,1,0,0,0,0
67,apath,negative,0,1,1,0,0,0
68,apparent,positive,0,0,0,0,0,0
69,appren,positive,0,0,0,0,0,0
70,apprent,positive,0,0,0,0,0,0
71,approb,positive,0,0,0,0,0,0
72,approb,positive,0,0,0,0,0,0
73,approch,positive,0,0,0,0,0,0
74,appropri,positive,0,0,0,0,0,0
75,approxim,positive,0,0,0,0,0,0
76,appui,positive,0,0,0,0,0,0
77,aqueux,negative,0,0,0,0,0,1
78,ardent,positive,0,0,0,0,1,0
79,arãªte,negative,0,1,0,0,0,0
80,arid,negative,0,1,1,0,0,0
81,armatur,positive,0,0,0,0,0,0
82,arnaqueur,negative,0,1,0,1,0,1
83,arrond,positive,0,0,0,0,0,0
84,artisan,positive,0,0,0,0,0,0
85,asil,positive,0,0,0,0,0,0
86,asphyx,negative,0,1,0,1,0,0
87,aspir,positive,0,0,0,0,0,0
88,assaill,negative,0,1,1,1,0,0
89,assent,positive,0,0,0,0,0,0
90,assidu,positive,0,0,0,0,0,0
91,assist,positive,0,0,0,0,0,0
92,assist,positive,0,0,0,0,0,0
93,assourd,negative,0,1,1,0,0,0
94,asticot,negative,0,0,0,0,0,1
95,astuci,positive,0,0,0,0,0,0
96,athã©ist,negative,0,0,0,0,0,0
97,attarder mental,negative,0,1,1,0,0,1
98,attent,positive,0,0,0,0,0,0
99,attir,positive,0,0,0,0,1,0
100,attitude amical,positive,0,0,0,0,0,0
101,attroup,positive,0,0,0,0,0,0
102,au chã´mag,negative,0,1,1,0,0,0
103,au gouvern,positive,0,0,0,0,0,0
104,au premier plan,positive,0,0,0,0,0,0
105,audit,positive,0,0,0,0,0,0
106,auditeur,positive,0,1,0,0,0,0
107,augur,negative,0,1,0,0,0,0
108,aussi qu,positive,0,0,0,0,0,0
109,autonom,positive,0,0,0,0,0,0
110,autosatisfact,positive,0,0,0,0,0,0
111,avant derni,negative,0,0,1,0,0,0
112,avantag,positive,1,0,0,0,0,0
113,avec amertum,negative,0,0,1,1,0,1
114,avec fermetã©,positive,0,0,0,0,0,0
115,avec insist,positive,0,0,0,0,0,0
116,avec lequel,positive,0,0,0,0,0,0
117,aventur,positive,0,1,0,0,1,0
118,aventuri,positive,0,1,0,0,1,0
119,avocat,positive,0,1,0,1,0,1
120,avoir du chagrin,negative,0,1,1,0,0,0
121,avou,negative,0,1,1,0,0,0
122,badaud,positive,0,0,0,0,0,0
123,bafouill,negative,0,1,0,0,0,0
124,baiss,negative,0,0,1,0,0,0
125,baissiã¨r,negative,0,1,1,1,0,0
126,balais,negative,0,1,0,0,1,0
127,balbuti,positive,0,0,0,0,0,0
128,banlieusard,negative,0,0,0,0,0,0
129,banniã¨r,positive,0,0,0,0,0,0
130,banquiã¨r,positive,0,0,0,0,0,0
131,bansh,negative,0,1,1,1,0,1
132,baraqu,positive,0,1,0,0,0,0
133,barg,negative,0,1,0,0,0,1
134,bã¢tard,negative,0,1,0,1,0,1
135,batifol,positive,1,0,0,0,0,0
136,batt,positive,0,0,0,0,0,0
137,batteux,positive,0,0,0,0,0,0
138,bavardag,negative,0,0,0,0,0,0
139,bavard,negative,0,0,0,0,0,0
140,bazar,negative,0,1,1,1,0,1
141,beau,positive,0,0,0,0,0,0
142,belliqu,negative,0,1,0,1,0,0
143,bã©nign,positive,1,0,0,0,0,0
144,bãªte,negative,0,0,0,1,0,1
145,beugl,negative,0,1,1,1,0,0
146,beugl,negative,0,1,1,1,0,0
147,bien,positive,1,0,0,0,0,0
148,bienfaiteur,positive,0,0,0,0,0,0
149,bienheur,positive,1,0,0,0,0,0
150,bienveil,positive,0,0,0,0,1,0
151,bijouti,positive,0,0,0,0,0,0
152,bimensuel,positive,0,0,0,0,0,0
153,bisannuel,positive,0,0,0,0,0,0
154,bisexuel,positive,0,0,0,0,0,0
155,blagueur,positive,0,0,0,0,1,0
156,blanc,positive,0,0,0,0,0,0
157,bloqu,negative,0,1,0,0,1,0
158,boiteux,negative,0,0,1,0,0,0
159,bon ã  mang,positive,0,0,0,0,0,0
160,bon ã  rien,negative,0,0,1,1,0,1
161,bord,positive,0,0,0,0,0,0
162,bord de m,positive,0,0,0,0,0,0
163,boueux,negative,0,0,0,0,0,1
164,boulevers,negative,0,1,1,1,0,0
165,bourb,negative,0,1,0,0,0,1
166,bourd,negative,0,1,1,0,0,1
167,bourgeois,negative,0,0,0,0,0,0
168,bourrasqu,negative,0,1,0,0,1,0
169,bourru,negative,0,0,0,1,0,1
170,bouton,negative,0,0,0,0,0,1
171,boxeux,positive,0,0,0,1,0,0
172,boycottag,negative,0,0,0,1,0,1
173,brã¨ve,positive,0,0,0,0,0,0
174,brill,positive,0,0,0,0,0,0
175,brill,positive,0,0,0,0,0,1
176,broch,positive,0,0,0,0,0,0
177,brouill,negative,0,1,0,0,0,0
178,broussaill,negative,0,0,0,0,0,0
179,brumeux,negative,0,1,1,0,0,0
180,brui,negative,0,0,0,1,0,0
181,bruyã¨r,negative,0,0,0,0,0,0
182,cã¢ble,positive,0,0,0,0,1,0
183,cache n,negative,0,0,0,0,0,0
184,caduqu,negative,0,0,1,0,0,1
185,cafouill,negative,0,0,0,0,0,0
186,cafteur,negative,0,0,0,1,0,0
187,caillout,negative,0,1,0,0,0,0
188,caissi,positive,0,0,0,0,0,0
189,calcul,positive,0,0,0,1,0,0
190,calleux,negative,0,0,0,1,0,1
191,calm,positive,0,0,0,0,0,0
192,calm,positive,0,0,0,0,0,0
193,calomni,negative,0,0,0,1,0,1
194,calvair,negative,0,1,1,1,1,0
195,cambrioleur,negative,0,1,0,0,0,1
196,candidat,positive,0,0,0,0,0,0
197,candid,negative,0,0,1,0,0,0
198,capital,positive,0,0,0,0,0,0
199,capit,negative,1,0,0,0,0,0
200,capitonnag,positive,0,0,0,0,0,0
201,caprici,negative,0,0,0,1,0,0
202,capsul,positive,0,0,0,0,0,0
203,captiv,positive,0,0,0,0,0,0
204,captif,negative,0,1,1,0,0,0
205,capturer au lasso,negative,0,1,0,1,0,0
206,carit,positive,0,0,0,0,0,0
207,cascad,positive,0,1,0,0,1,0
208,catcheur,negative,0,1,0,1,0,0
209,caustiqu,negative,0,1,0,0,0,1
210,cavali,positive,0,0,0,0,0,0
211,cã©dant,positive,0,0,0,0,0,0
212,celli,positive,0,0,0,0,0,0
213,cã©rã©moniel,positive,0,0,0,0,0,0
214,chahut,negative,0,0,0,1,0,1
215,chahuteur,negative,0,0,0,1,0,0
216,chamailleur,negative,0,0,0,1,0,1
217,champion,positive,0,0,0,0,0,0
218,chanceliã¨r,positive,0,0,0,0,0,0
219,chanceux,positive,1,0,0,0,0,0
220,chanteur,positive,0,0,0,0,0,0
221,chaotiqu,negative,0,1,1,0,0,0
222,charad,positive,0,0,0,0,1,0
223,charg,negative,0,1,0,1,1,0
224,charm,positive,0,0,0,0,1,0
225,charnel,negative,0,0,0,0,0,0
226,chasseur,negative,0,1,1,1,0,0
227,chatouilleur,negative,0,0,0,0,0,0
228,chemin,positive,0,0,0,0,0,0
229,chenapan,negative,0,1,0,1,0,1
230,chercheur,positive,0,0,0,0,0,0
231,chã©tif,negative,0,1,1,0,0,1
232,chevelu,negative,0,0,0,0,0,1
233,chirurgien,positive,0,0,0,0,0,0
234,chã´meur,negative,0,1,1,0,0,0
235,cingl,negative,0,1,0,0,1,1
236,circonscript,positive,0,0,0,0,0,0
237,cireur,negative,0,0,0,0,0,1
238,citoyen,positive,0,0,0,0,0,0
239,civil,positive,0,0,0,0,0,0
240,clairvoi,positive,0,0,0,0,0,0
241,claqu,negative,0,1,0,0,1,0
242,classif,negative,0,1,1,1,0,0
243,clef,positive,0,0,0,0,0,0
244,clã©ment,positive,1,0,0,0,0,0
245,client,positive,0,0,0,0,0,0
246,clor,negative,0,0,1,0,0,0
247,cod,negative,0,0,0,0,0,0
248,coercit,negative,0,1,1,0,0,0
249,cognit,positive,0,0,0,0,0,0
250,cohã©renc,positive,0,0,0,0,0,0
251,cohã©sion,positive,0,0,0,0,0,0
252,cohã©sif,positive,0,0,0,0,0,0
253,coiffeur|coiff,positive,0,0,0,0,0,0
254,collabor,positive,0,0,0,0,0,0
255,collect,positive,0,0,0,0,0,0
256,collectionneur,positive,0,0,0,0,0,0
257,collect,positive,0,0,0,0,0,0
258,colonis,negative,0,1,0,0,0,0
259,comat,negative,0,1,1,0,0,0
260,combatt,positive,0,0,0,1,0,0
261,comiqu,positive,1,0,0,0,0,0
262,commã©mor,positive,0,0,1,0,0,0
263,commenc,positive,0,0,0,0,0,0
264,comment,positive,0,0,0,0,0,0
265,commerã§,positive,0,0,0,0,0,0
266,commiss,positive,0,0,0,0,0,0
267,commod,positive,1,0,0,0,0,0
268,commun,positive,0,0,0,0,0,0
269,commun,positive,1,0,0,0,0,0
270,compact,positive,0,0,0,0,0,0
271,compens,positive,0,0,0,0,0,0
272,compã©tenc,positive,0,0,0,0,0,0
273,compã©tit,negative,0,0,0,1,0,0
274,complã¨t,positive,0,0,0,0,0,0
275,complot,negative,0,1,0,1,0,0
276,compositeur,positive,0,0,0,0,0,0
277,concevoir,positive,0,0,0,0,0,0
278,concili,positive,0,0,0,0,0,0
279,concord,positive,0,0,0,0,0,0
280,concret,positive,0,0,0,0,0,0
281,concurrent,negative,0,1,1,1,0,1
282,concurrentiel,negative,0,0,0,1,0,0
283,conditionnel,positive,0,0,0,0,0,0
284,confect,positive,0,0,0,0,0,0
285,confessionnel,positive,0,0,0,0,0,0
286,confidentiel,positive,0,0,0,0,0,0
287,confl,negative,0,0,0,1,0,0
288,confrã©rie fã©minin,positive,0,0,0,0,0,0
289,confus,negative,0,1,1,0,0,0
290,conjectur,negative,0,1,1,0,0,0
291,conjoint,positive,0,0,0,0,0,0
292,connaisseur,positive,0,0,0,0,0,0
293,connect,positive,0,0,0,0,0,0
294,connaã®tr,positive,0,0,0,0,0,0
295,conquã©r,positive,0,0,0,0,0,0
296,conscienci,positive,0,0,0,0,0,0
297,consã©cut,positive,0,0,0,0,0,0
298,conseil,positive,0,1,0,1,0,0
299,consent,positive,0,0,0,0,0,0
300,conserv,positive,0,0,0,0,0,0
