Nom,ID
"LA LISTE DE SCHINDLER",9393
"À COUTEAUX TIRÉS",267546
"RENDEZ-VOUS CHEZ LES MALAWAS",265573
"KAAMELOTT – PREMIER VOLET",248191
"VENOM",138473
"QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU?",262394
"READY PLAYER ONE",229831
"LES ANIMAUX FANTASTIQUES : LES CRIMES DE GRINDELWALD",228086
"A STAR IS BORN",173109
"BOHEMIAN RHAPSODY",185719
"TU NE TUERAS POINT",208104
"VENOM: LET THERE BE CARNAGE",269758
"LUI",286347
"XXX",39160
"LES VISITEURS EN AMÉRIQUE",32547
"LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI",39187
"LE ROI LION",10862
"THE DARK KNIGHT, LE CHEVALIER NOIR",115362
"INTERSTELLAR",114782
"PARASITE",255238
